stall_id,stall_name,food_name,food_id,food_price,food_categories
15,Puroy's Eatery,Sausage Bacon Wrap,260,₱55.00,"Rice Meal, Hot"
15,Puroy's Eatery,Skinless Longganisa ,261,₱55.00,"Rice Meal, Hot"
15,Puroy's Eatery,Squid Balls 4pcs,262,₱20.00,"Street Food, Hot"
15,Puroy's Eatery,Tokneneng,263,₱25.00,"Street Food, Hot"
15,Puroy's Eatery,Tokwa 4pcs,264,₱20.00,"Street Food, Hot"
15,Puroy's Eatery,Veggie Balls 5pcs,265,₱20.00,"Street Food, Hot"
16,Flavors of Lagoon,Fried Noodles w/ Siomai,266,₱50.00,"Meal, Hot"
16,Flavors of Lagoon,Katsu Curry w/ Rice,267,₱80.00,"Rice Meal, Hot"
16,Flavors of Lagoon,Tteokbokki Fish Cake,268,₱25.00,"Snack, Hot"
16,Flavors of Lagoon,Garlic Wings,269,₱70.00,"Snack, Hot"
16,Flavors of Lagoon,Teriyaki Wings,270,₱70.00,"Snack, Hot"
16,Flavors of Lagoon,BBQ Wings,271,₱70.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy Regular Burger B1T1,272,₱40.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy Regular Burger Solo,273,₱25.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy Biggie Burger B1T1,274,₱75.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy Biggie Burger Solo,275,₱40.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy Biggy Bacon Burger,276,₱40.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy Regular Bacon Burger ,277,₱35.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy Jumbo Hotdog Sandwich,278,₱35.00,"Snack, Hot"
16,Flavors of Lagoon,Cheesy FEWA,279,₱65.00,"Snack, Hot"
16,Flavors of Lagoon,Footlong Sandwich w/ Cheese,280,₱45.00,"Snack, Hot"
16,Flavors of Lagoon,Biggy Tuna Sandwich ,281,₱40.00,"Snack, Hot"
16,Flavors of Lagoon,Regular Tuna Sandwich,282,₱25.00,"Snack, Hot"
16,Flavors of Lagoon,Biggy Chicken Sandwich ,283,₱40.00,"Snack, Hot"
16,Flavors of Lagoon,Regular Chicken Sandwich,284,₱25.00,"Snack, Hot"
16,Flavors of Lagoon,Biggy Egg Salad Sandwich,285,₱40.00,"Snack, Hot"
16,Flavors of Lagoon,Regular Egg Salad Sandwich,286,₱20.00,"Snack, Hot"
16,Flavors of Lagoon,Large Fries 200 Grams,287,₱48.00,"Snack, Hot"
16,Flavors of Lagoon,Fewa Meal w/ S Drink & L Fries,288,₱128.00,"Snack, Hot"
16,Flavors of Lagoon,Burger Meal w/ S Drink & L Fries,289,₱88.00,"Snack, Hot"
16,Flavors of Lagoon,Bacon Hotdog Rice,290,₱60.00,"Rice Meal, Hot"
16,Flavors of Lagoon,Combo Hotdog Rice,291,₱45.00,"Rice Meal, Hot"
16,Flavors of Lagoon,Combo Hotdog on Stick,292,₱30.00,"Snack, Hot"
17,WAFFLE TIME,Purefoods Waffle,293,₱35.00,"Snack, Hot"
17,WAFFLE TIME,Ham N' Cheese Waffle,294,₱32.00,"Snack, Hot"
17,WAFFLE TIME,Cheese Delite Waffle,295,₱25.00,"Snack, Hot"
17,WAFFLE TIME,American Hotdog Waffle,296,₱32.00,"Snack, Hot"
17,WAFFLE TIME,Tuna Salad Waffle,297,₱32.00,"Snack, Hot"
17,WAFFLE TIME,Cream Cheese Waffle,298,₱35.00,"Snack, Hot"
